stasiun_id,horizon,definition,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours
150,6,p95,persistence,648,327,351,0.6565349544072948,0.48868778280542985,0.6486486486486487,0.3353846153846154,999
150,6,rise,lstm,163,92,471,0.36670416197975253,0.22451790633608815,0.25709779179810727,0.3607843137254902,634
150,6,rise,persistence,284,189,350,0.5130984643179766,0.3450789793438639,0.4479495268138801,0.39957716701902746,634
150,6,siaga3,lstm,313,61,597,0.48753894080996885,0.3223480947476828,0.34395604395604396,0.16310160427807488,910
150,6,siaga3,persistence,569,318,341,0.6332776850306066,0.46335504885993484,0.6252747252747253,0.35851183765501693,910
150,12,p95,lstm,190,110,807,0.29298380878951424,0.17163504968383017,0.1905717151454363,0.36666666666666664,997
150,12,p95,persistence,489,480,508,0.49745676500508645,0.3310765064319567,0.49047141424272817,0.4953560371517028,997
150,12,rise,lstm,36,53,626,0.09587217043941411,0.05034965034965035,0.054380664652567974,0.5955056179775281,662
150,12,rise,persistence,173,263,489,0.3151183970856102,0.18702702702702703,0.26132930513595165,0.6032110091743119,662
150,12,siaga3,lstm,108,66,800,0.19963031423290203,0.11088295687885011,0.11894273127753303,0.3793103448275862,908
150,12,siaga3,persistence,420,461,488,0.4695360536612633,0.30679327976625276,0.46255506607929514,0.5232690124858116,908
150,24,p95,lstm,21,0,958,0.042,0.021450459652706845,0.021450459652706845,0.0,979
150,24,p95,persistence,352,622,627,0.3604710701484895,0.2198625858838226,0.3595505617977528,0.6386036960985626,979
150,24,rise,lstm,6,8,705,0.016551724137931035,0.008344923504867872,0.008438818565400843,0.5714285714285714,711
150,24,rise,persistence,136,266,575,0.24438454627133874,0.13920163766632548,0.19127988748241911,0.6616915422885572,711
150,24,siaga3,lstm,4,0,886,0.008948545861297539,0.0044943820224719105,0.0044943820224719105,0.0,890
150,24,siaga3,persistence,306,581,584,0.34440067529544177,0.2080217539089055,0.3438202247191011,0.6550169109357384,890
162,1,p95,lstm,777,44,138,0.8951612903225806,0.8102189781021898,0.8491803278688524,0.0535931790499391,915
162,1,p95,persistence,695,220,220,0.7595628415300546,0.6123348017621145,0.7595628415300546,0.24043715846994534,915
162,1,rise,lstm,386,20,46,0.9212410501193318,0.8539823008849557,0.8935185185185185,0.04926108374384237,432
162,1,rise,persistence,321,111,111,0.7430555555555556,0.5911602209944752,0.7430555555555556,0.2569444444444444,432
162,1,siaga3,lstm,8167,88,218,0.981610576923077,0.9638852826625752,0.9740011926058437,0.010660205935796486,8385
162,1,siaga3,persistence,7931,436,454,0.9468720152817574,0.8991044099308468,0.945855694692904,0.052109477710051394,8385
162,6,p95,lstm,539,89,376,0.6986390149060272,0.5368525896414342,0.5890710382513661,0.14171974522292993,915
162,6,p95,persistence,42,874,873,0.045876570180229385,0.023476802683063163,0.04590163934426229,0.9541484716157205,915
162,6,rise,lstm,218,12,206,0.6666666666666666,0.5,0.5141509433962265,0.05217391304347826,424
162,6,rise,persistence,9,421,415,0.02107728337236534,0.010650887573964497,0.02122641509433962,0.9790697674418605,424
162,6,siaga3,lstm,7836,349,542,0.9462053975729035,0.8979030594706084,0.9353067557889712,0.042638973732437385,8378
162,6,siaga3,persistence,6063,2304,2315,0.7241564646163033,0.5675903388878487,0.7236810694676534,0.2753675152384367,8378
162,12,p95,lstm,603,105,311,0.7435265104808878,0.591756624141315,0.6597374179431073,0.1483050847457627,914
162,12,p95,persistence,2,917,912,0.002182214948172395,0.0010922992900054614,0.002188183807439825,0.9978237214363439,914
162,12,rise,lstm,250,33,176,0.7052186177715092,0.5446623093681917,0.5868544600938967,0.1166077738515901,426
162,12,rise,persistence,0,459,426,0.0,0.0,0.0,1.0,426
162,12,siaga3,lstm,7910,396,457,0.9488394410124152,0.9026589067670889,0.9453806621250149,0.04767637852155068,8367
162,12,siaga3,persistence,5275,3077,3092,0.6310186015910042,0.46094023068857043,0.6304529700011952,0.3684147509578544,8367
162,24,p95,lstm,544,125,363,0.6903553299492385,0.5271317829457365,0.5997794928335171,0.18684603886397608,907
162,24,p95,persistence,638,281,269,0.6987951807228916,0.5370370370370371,0.7034178610804851,0.3057671381936888,907
162,24,rise,lstm,227,55,186,0.6532374100719425,0.48504273504273504,0.549636803874092,0.1950354609929078,413
162,24,rise,persistence,269,121,144,0.6699875466998755,0.5037453183520599,0.6513317191283293,0.31025641025641026,413
162,24,siaga3,lstm,7834,394,507,0.9456213410586034,0.8968517458500286,0.9392159213523559,0.0478852698104035,8341
162,24,siaga3,persistence,7835,501,506,0.9396174371889429,0.8861117394254694,0.9393358110538305,0.06010076775431862,8341
164,1,p95,lstm,6182,66,176,0.9808027923211169,0.9623287671232876,0.972318339100346,0.01056338028169014,6358
164,1,p95,persistence,5991,99,367,0.9625642673521851,0.9278302617314542,0.9422774457376534,0.01625615763546798,6358
164,1,rise,lstm,325,61,142,0.7620164126611958,0.615530303030303,0.69593147751606,0.15803108808290156,467
164,1,rise,persistence,348,49,119,0.8055555555555556,0.6744186046511628,0.7451820128479657,0.12342569269521411,467
164,1,siaga3,lstm,2881,64,3050,0.6491662911221271,0.4805671392827356,0.4857528241443264,0.02173174872665535,5931
164,1,siaga3,persistence,5657,158,274,0.9632215222203303,0.9290523895549351,0.9538020569887035,0.027171109200343938,5931
164,6,p95,lstm,4554,219,1774,0.8204666246284118,0.6955857644722774,0.7196586599241467,0.0458830923947203,6328
164,6,p95,persistence,5820,270,508,0.9373490095023354,0.8820854804486208,0.9197218710493047,0.04433497536945813,6328
164,6,rise,lstm,155,494,344,0.2700348432055749,0.15609264853977844,0.3106212424849699,0.7611710323574731,499
164,6,rise,persistence,186,153,313,0.4439140811455847,0.2852760736196319,0.3727454909819639,0.45132743362831856,499
164,6,siaga3,lstm,1095,140,4806,0.3068946188340807,0.18126138056613145,0.18556176919166242,0.11336032388663968,5901
164,6,siaga3,persistence,5363,452,538,0.9155001707067258,0.8441681095545411,0.908829012031859,0.07773000859845228,5901
164,12,p95,lstm,2523,198,3786,0.5588039867109634,0.3877362840018442,0.39990489776509747,0.07276736493936053,6309
164,12,p95,persistence,5721,342,588,0.9248302618816683,0.8601714027965719,0.9067998097955302,0.056407718951014346,6309
164,12,rise,lstm,157,219,385,0.3420479302832244,0.20630749014454666,0.2896678966789668,0.5824468085106383,542
164,12,rise,persistence,142,177,400,0.32984901277584205,0.19749652294853964,0.26199261992619927,0.554858934169279,542
164,12,siaga3,lstm,684,89,5196,0.20562152412445514,0.11459205897135198,0.11632653061224489,0.11513583441138421,5880
164,12,siaga3,persistence,5268,521,612,0.9029051332590625,0.8229964068114357,0.8959183673469387,0.08999827258593884,5880
