stasiun_id,horizon,level,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours
184,6,siaga3,persistence,130,419,420,0.23657870791628755,0.13415892672858618,0.23636363636363636,0.7632058287795993,550
184,12,siaga2,lstm,0,0,21,0.0,0.0,0.0,,21
184,12,siaga2,persistence,0,21,21,0.0,0.0,0.0,1.0,21
184,12,siaga3,lstm,0,0,542,0.0,0.0,0.0,,542
184,12,siaga3,persistence,3,546,539,0.005499541704857928,0.0027573529411764708,0.005535055350553505,0.994535519125683,542
184,24,siaga2,lstm,0,0,21,0.0,0.0,0.0,,21
184,24,siaga2,persistence,8,12,13,0.3902439024390244,0.24242424242424243,0.38095238095238093,0.6,21
184,24,siaga3,lstm,0,0,529,0.0,0.0,0.0,,529
184,24,siaga3,persistence,418,121,111,0.7827715355805244,0.6430769230769231,0.7901701323251418,0.22448979591836735,529
187,1,siaga2,lstm,0,0,16,0.0,0.0,0.0,,16
187,1,siaga2,persistence,11,5,5,0.6875,0.5238095238095238,0.6875,0.3125,16
187,1,siaga3,lstm,0,0,605,0.0,0.0,0.0,,605
187,1,siaga3,persistence,515,90,90,0.8512396694214877,0.7410071942446043,0.8512396694214877,0.1487603305785124,605
187,6,siaga2,lstm,0,0,16,0.0,0.0,0.0,,16
187,6,siaga2,persistence,0,16,16,0.0,0.0,0.0,1.0,16
187,6,siaga3,lstm,0,0,603,0.0,0.0,0.0,,603
187,6,siaga3,persistence,133,472,470,0.22019867549668873,0.12372093023255815,0.22056384742951907,0.7801652892561983,603
187,12,siaga2,lstm,0,0,16,0.0,0.0,0.0,,16
187,12,siaga2,persistence,0,16,16,0.0,0.0,0.0,1.0,16
187,12,siaga3,lstm,0,0,603,0.0,0.0,0.0,,603
187,12,siaga3,persistence,2,603,601,0.0033112582781456954,0.001658374792703151,0.003316749585406302,0.996694214876033,603
187,24,siaga2,lstm,0,0,16,0.0,0.0,0.0,,16
187,24,siaga2,persistence,6,10,10,0.375,0.23076923076923078,0.375,0.625,16
187,24,siaga3,lstm,0,0,603,0.0,0.0,0.0,,603
187,24,siaga3,persistence,496,102,107,0.8259783513738551,0.7035460992907802,0.8225538971807629,0.1705685618729097,603
