event,stasiun_id,horizon,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours,t_first_obs_exceed,max_lead_hours
E2,181,6,persistence,75,52,68,0.5555555555555556,0.38461538461538464,0.5244755244755245,0.4094488188976378,143,2026-01-11 01:00:00,0.0
E2,181,12,lstm,0,0,143,0.0,0.0,0.0,,143,2026-01-11 01:00:00,0.0
E2,181,12,persistence,72,52,71,0.5393258426966292,0.36923076923076925,0.5034965034965035,0.41935483870967744,143,2026-01-11 01:00:00,0.0
E2,181,24,lstm,0,0,143,0.0,0.0,0.0,,143,2026-01-11 01:00:00,0.0
E2,181,24,persistence,75,45,68,0.5703422053231939,0.39893617021276595,0.5244755244755245,0.375,143,2026-01-11 01:00:00,0.0
E6,181,1,lstm,0,0,0,,,,,0,,
E6,181,1,persistence,0,0,0,,,,,0,,
E6,181,6,lstm,0,0,0,,,,,0,,
E6,181,6,persistence,0,0,0,,,,,0,,
E6,181,12,lstm,0,0,0,,,,,0,,
E6,181,12,persistence,0,0,0,,,,,0,,
E6,181,24,lstm,0,0,0,,,,,0,,
E6,181,24,persistence,0,0,0,,,,,0,,
E7,181,1,lstm,0,0,2,0.0,0.0,0.0,,2,2026-06-02 06:00:00,0.0
E7,181,1,persistence,0,2,2,0.0,0.0,0.0,1.0,2,2026-06-02 06:00:00,0.0
E7,181,6,lstm,0,0,2,0.0,0.0,0.0,,2,2026-06-02 06:00:00,0.0
E7,181,6,persistence,0,2,2,0.0,0.0,0.0,1.0,2,2026-06-02 06:00:00,0.0
E7,181,12,lstm,0,0,2,0.0,0.0,0.0,,2,2026-06-02 06:00:00,0.0
E7,181,12,persistence,0,2,2,0.0,0.0,0.0,1.0,2,2026-06-02 06:00:00,0.0
E7,181,24,lstm,0,0,2,0.0,0.0,0.0,,2,2026-06-02 06:00:00,0.0
E7,181,24,persistence,0,2,2,0.0,0.0,0.0,1.0,2,2026-06-02 06:00:00,0.0
E2,184,1,lstm,0,0,72,0.0,0.0,0.0,,72,2026-01-11 01:00:00,0.0
E2,184,1,persistence,60,13,12,0.8275862068965517,0.7058823529411765,0.8333333333333334,0.1780821917808219,72,2026-01-11 01:00:00,0.0
